raw_id,canonical_name,brand,container_type,containers_qty,units_per_container,size_per_unit_g_or_ml,base_unit,qty_in_base_unit,is_countable,is_opened,expires_on,confidence,notes
1,Jasmine rice,,bag,2.5,1,2270,g,"=IF(OR($E2="""",$F2=""""),""UNKNOWN"",IF($H2=""count"",$E2*$F2,IF($G2="""",""UNKNOWN"",$E2*$F2*$G2)))",no,yes,,high,"5 lb = 2270 g. Half a bag is an estimate, not a measurement - decide how you record partial containers."
2,"Cheerios, cookies and creme",Cheerios,box,1,1,425,g,"=IF(OR($E3="""",$F3=""""),""UNKNOWN"",IF($H3=""count"",$E3*$F3,IF($G3="""",""UNKNOWN"",$E3*$F3*$G3)))",no,,,medium,Verify 425 g against the box. Family size varies by region.
3,Indomie instant noodles,Indomie,bag,2,5,,count,"=IF(OR($E4="""",$F4=""""),""UNKNOWN"",IF($H4=""count"",$E4*$F4,IF($G4="""",""UNKNOWN"",$E4*$F4*$G4)))",yes,no,,high,2 bags x 5 packs = 10 packs. Pack weight (~85 g) not recorded - needed if a recipe wants grams.
4,Honey,Clover,bottle,1,1,340,g,"=IF(OR($E5="""",$F5=""""),""UNKNOWN"",IF($H5=""count"",$E5*$F5,IF($G5="""",""UNKNOWN"",$E5*$F5*$G5)))",no,,,high,Recipes ask for cups. Needs a density row: honey is ~1.42 g/ml.
5,Tomato paste,Essential Everyday,can,10,1,340,g,"=IF(OR($E6="""",$F6=""""),""UNKNOWN"",IF($H6=""count"",$E6*$F6,IF($G6="""",""UNKNOWN"",$E6*$F6*$G6)))",yes,no,,low,"Verify size. Essential Everyday tomato paste is commonly 170 g (6 oz), not 340 g. If wrong, total is off by 1700 g."
6,UNRESOLVED - Lipton box,Lipton,box,1,,,,"=IF(OR($E7="""",$F7=""""),""UNKNOWN"",IF($H7=""count"",$E7*$F7,IF($G7="""",""UNKNOWN"",$E7*$F7*$G7)))",,,,low,"Lipton tea bags? Soup mix? Recipe Secrets? Cannot resolve the product, the unit, or the quantity. This is your worst-case row - design for it."
7,Basmati rice,,bag,1,1,,g,"=IF(OR($E8="""",$F8=""""),""UNKNOWN"",IF($H8=""count"",$E8*$F8,IF($G8="""",""UNKNOWN"",$E8*$F8*$G8)))",no,,,low,Bag size never recorded. Also: is this substitutable for jasmine rice when a recipe says 'rice'?
8,Whey protein powder,,bottle,1,1,899,g,"=IF(OR($E9="""",$F9=""""),""UNKNOWN"",IF($H9=""count"",$E9*$F9,IF($G9="""",""UNKNOWN"",$E9*$F9*$G9)))",no,,,medium,Verify 899 g. Common tub sizes are 907 g (2 lb).
9,Crunchy Oats 'n Honey bars,,box,1,49,,count,"=IF(OR($E10="""",$F10=""""),""UNKNOWN"",IF($H10=""count"",$E10*$F10,IF($G10="""",""UNKNOWN"",$E10*$F10*$G10)))",yes,,,medium,49 pouches. Per-pouch weight (~42 g) not recorded. Nested packaging: box > pouch > bar.
10,"Hot cocoa mix, double chocolate",,box,1,1,435,g,"=IF(OR($E11="""",$F11=""""),""UNKNOWN"",IF($H11=""count"",$E11*$F11,IF($G11="""",""UNKNOWN"",$E11*$F11*$G11)))",no,,,high,Powder measured by scoop in practice. Scoop-to-gram is another density case.
11,Chicken wing pieces,,loose,10,1,,count,"=IF(OR($E12="""",$F12=""""),""UNKNOWN"",IF($H12=""count"",$E12*$F12,IF($G12="""",""UNKNOWN"",$E12*$F12*$G12)))",yes,,,medium,Only perishable on the entire list. Frozen or fresh changes the expiry rule completely.
,Rows needing a decision before v1:,,,,,,,"=COUNTIF($M$2:$M$12,""low"")",,,,,
,Items with a recorded expiry date:,,,,,,,=COUNTA($L$2:$L$12),,,,,
