raw_id,verbatim_line,captured_on,source
1,2 and half bags of Jasmine Rice (5 lb) (2.27 kg),2026-08-02,handwritten notebook
2,"One family size, cookies and creme Cheerios - 425g",2026-08-02,handwritten notebook
3,Two Indomie - 5 packs per bag,2026-08-02,handwritten notebook
4,One bottle Clover honey = 340g - weight,2026-08-02,handwritten notebook
5,10 Essential Everyday Tomato Paste - 340g,2026-08-02,handwritten notebook
6,One Lipton box,2026-08-02,handwritten notebook
7,One bag of basmati rice,2026-08-02,handwritten notebook
8,1 whey protein bottle (899g),2026-08-02,handwritten notebook
9,One box of Crunchy Oats'n honey - 49 pouches per box,2026-08-02,handwritten notebook
10,"One double chocolate, Hot Cocoa mix - 435g",2026-08-02,handwritten notebook
11,Ten chicken wing pieces,2026-08-02,handwritten notebook
